Pred.Strat,Pred.Prey_Domain,Pred.Start.Con,Prey.Start.Con,HR.Type,HazardRatio,P_value,Lower95CI,Upper95CI
Active,Small.Small,Small,Small,Habitat,2.91E-08,2.00E-16,5.33E-10,1.59E-06
Active,Small.Large,Small,Large,Habitat,3.13E-06,2.71E-07,2.49E-08,3.92E-04
Active,Large.Small,Large,Small,Habitat,8.03E-07,3.28E-16,2.76E-08,2.33E-05
Active,Large.Large,Large,Large,Habitat,1.02E-05,3.79E-16,6.42E-07,1.62E-04
Sit-and-Pursue,Small.Small,Small,Small,Habitat,8.31E-04,3.97E-11,1.01E-04,6.82E-03
Sit-and-Pursue,Small.Large,Small,Large,Habitat,2.10E-06,5.46E-11,4.22E-08,1.05E-04
Sit-and-Pursue,Large.Small,Large,Small,Habitat,1.26E-05,5.14E-16,8.25E-07,1.93E-04
Sit-and-Pursue,Large.Large,Large,Large,Habitat,3.19E-04,4.76E-10,2.53E-05,4.02E-03
Sit-and-Wait,Small.Small,Small,Small,Habitat,5.26E-04,6.14E-07,2.70E-05,1.02E-02
Sit-and-Wait,Small.Large,Small,Large,Habitat,6.52E-03,0.328541,2.69E-07,1.58E+02
Sit-and-Wait,Large.Small,Large,Small,Habitat,1.26E-05,5.14E-16,8.25E-07,1.93E-04
Sit-and-Wait,Large.Large,Large,Large,Habitat,1.74E-05,0.0011,2.41E-08,1.26E-02
Active,Small.Small,Small,Small,PredFree,2.29E-11,5.52E-13,2.94E-14,1.79E-08
Active,Small.Large,Small,Large,PredFree,1.35E-15,2.55E-12,9.30E-20,1.97E-11
Active,Large.Small,Large,Small,PredFree,2.99E-12,3.36E-15,4.06E-15,2.21E-09
Active,Large.Large,Large,Large,PredFree,1.58E-13,2.00E-16,2.98E-16,8.42E-11
Sit-and-Pursue,Small.Small,Small,Small,PredFree,4.71E-12,2.00E-16,1.37E-14,1.62E-09
Sit-and-Pursue,Small.Large,Small,Large,PredFree,1.25E-18,1.94E-10,3.85E-24,4.06E-13
Sit-and-Pursue,Large.Small,Large,Small,PredFree,1.74E-14,1.75E-13,3.81E-18,7.98E-11
Sit-and-Pursue,Large.Large,Large,Large,PredFree,4.12E-13,2.00E-16,5.32E-16,3.20E-10
Sit-and-Wait,Small.Small,Small,Small,PredFree,9.70E-12,2.00E-16,9.65E-14,9.74E-10
Sit-and-Wait,Small.Large,Small,Large,PredFree,6.78E-14,0.000172,9.15E-21,5.02E-07
Sit-and-Wait,Large.Small,Large,Small,PredFree,1.74E-14,1.75E-13,3.81E-18,7.98E-11
Sit-and-Wait,Large.Large,Large,Large,PredFree,2.41E-15,2.00E-16,1.40E-18,4.14E-12
Active,Small.Small,Small,Small,SafeSpace,NA,NA,NA,NA
Active,Small.Large,Small,Large,SafeSpace,3.70E-05,2.52E-09,1.29E-06,1.06E-03
Active,Large.Small,Large,Small,SafeSpace,NA,NA,NA,NA
Active,Large.Large,Large,Large,SafeSpace,NA,NA,NA,NA
Sit-and-Pursue,Small.Small,Small,Small,SafeSpace,NA,NA,NA,NA
Sit-and-Pursue,Small.Large,Small,Large,SafeSpace,1.57E-04,0.000162,1.66E-06,1.49E-02
Sit-and-Pursue,Large.Small,Large,Small,SafeSpace,NA,NA,NA,NA
Sit-and-Pursue,Large.Large,Large,Large,SafeSpace,NA,NA,NA,NA
Sit-and-Wait,Small.Small,Small,Small,SafeSpace,NA,NA,NA,NA
Sit-and-Wait,Small.Large,Small,Large,SafeSpace,1.95E-05,0.000324,5.25E-08,7.20E-03
Sit-and-Wait,Large.Small,Large,Small,SafeSpace,NA,NA,NA,NA
Sit-and-Wait,Large.Large,Large,Large,SafeSpace,NA,NA,NA,NA
