Pred.Strat,Pred.Prey_Domain,Pred.Start.Con,Prey.Start.Con,Model,MedSurv,LCL95,UCL95,p-value
Active,Small.Small,Small,Small,CE,0.519,0.434,0.692,0.093
Active,Small.Large,Small,Large,CE,1.14,0.839,1.65,0.0001
Active,Large.Small,Large,Small,CE,0.906,0.749,1.24,0.055
Active,Large.Large,Large,Large,CE,0.986,0.716,1.11,0.0001
Sit-and-Pursue,Small.Small,Small,Small,CE,0.767,0.596,0.922,0.03
Sit-and-Pursue,Small.Large,Small,Large,CE,1.21,1.03,1.54,0.0001
Sit-and-Pursue,Large.Small,Large,Small,CE,1.18,0.93,1.56,0.01
Sit-and-Pursue,Large.Large,Large,Large,CE,1.167,0.849,1.61,0.5
Sit-and-Wait,Small.Small,Small,Small,CE,1.44,0.979,1.91,0.0049
Sit-and-Wait,Small.Large,Small,Large,CE,3.2,2.21,4.24,0.0001
Sit-and-Wait,Large.Small,Large,Small,CE,2.71,2.01,3.87,0.0029
Sit-and-Wait,Large.Large,Large,Large,CE,3.16,2.57,4.21,0.071
Active,Small.Small,Small,Small,NCE,0.442,0.377,0.65,0.093
Active,Small.Large,Small,Large,NCE,1.96,1.455,2.92,0.0001
Active,Large.Small,Large,Small,NCE,1.209,0.916,1.78,0.055
Active,Large.Large,Large,Large,NCE,1.591,1.063,2.03,0.0001
Sit-and-Pursue,Small.Small,Small,Small,NCE,0.564,0.47,0.767,0.03
Sit-and-Pursue,Small.Large,Small,Large,NCE,2.73,2.33,NA,0.0001
Sit-and-Pursue,Large.Small,Large,Small,NCE,1.17,0.806,1.74,0.01
Sit-and-Pursue,Large.Large,Large,Large,NCE,0.958,0.77,1.53,0.5
Sit-and-Wait,Small.Small,Small,Small,NCE,2.04,1.735,2.92,0.0049
Sit-and-Wait,Small.Large,Small,Large,NCE,NA,NA,NA,0.0001
Sit-and-Wait,Large.Small,Large,Small,NCE,4.84,3.57,NA,0.0029
Sit-and-Wait,Large.Large,Large,Large,NCE,4.25,3.09,NA,0.071
