"","run.Number","Pred.Strat","Prey.Start.Con","Pred.Start.Con","Detect.Black","Detect.White","Step","ticks","nearby","mapAware.table","Hour.Map","Black.Table","White.Table","DomainOverlap","Domain.Prey","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23","ihour0","ihour1","ihour2","ihour3","ihour4","ihour5","ihour6","ihour7","ihour8","ihour9","ihour10","ihour11","ihour12","ihour13","ihour14","ihour15","ihour16","ihour17","ihour18","ihour19","ihour20","ihour21","ihour22","ihour23"
"1",3,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"35","[[0 2] [1 2] [2 3] [3 2] [4 2] [5 1] [6 2] [7 1] [8 1] [9 1] [10 0] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 62] [1 114] [2 204] [3 203] [4 185] [5 190] [6 187] [7 208] [8 186] [9 194] [10 205] [11 120] [12 194] [13 209] [14 199] [15 196] [16 191] [17 181] [18 193] [19 199] [20 204] [21 186] [22 178] [23 192]]",2158,2222,2148,2232,62,114,204,203,185,190,187,208,186,194,205,120,194,209,199,196,191,181,193,199,204,186,178,192,2,2,3,2,2,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"24","[[0 0] [1 0] [2 0] [3 2] [4 2] [5 0] [6 1] [7 1] [8 1] [9 1] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 177] [1 173] [2 193] [3 105] [4 170] [5 184] [6 184] [7 185] [8 174] [9 197] [10 181] [11 201] [12 185] [13 198] [14 192] [15 175] [16 203] [17 185] [18 186] [19 179] [20 211] [21 174] [22 186] [23 182]]",2169,2211,1948,2432,177,173,193,105,170,184,184,185,174,197,181,201,185,198,192,175,203,185,186,179,211,174,186,182,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"31","[[0 0] [1 1] [2 2] [3 2] [4 2] [5 1] [6 1] [7 1] [8 2] [9 2] [10 1] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 171] [1 194] [2 200] [3 190] [4 180] [5 196] [6 186] [7 180] [8 188] [9 26] [10 194] [11 203] [12 186] [13 178] [14 173] [15 206] [16 194] [17 181] [18 185] [19 201] [20 202] [21 184] [22 186] [23 196]]",2192,2188,1837,2543,171,194,200,190,180,196,186,180,188,26,194,203,186,178,173,206,194,181,185,201,202,184,186,196,0,1,2,2,2,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"15","[[0 3] [1 1] [2 1] [3 0] [4 0] [5 0] [6 0] [7 0] [8 0] [9 0] [10 1] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 150] [1 194] [2 181] [3 183] [4 199] [5 190] [6 185] [7 181] [8 174] [9 193] [10 165] [11 175] [12 177] [13 186] [14 168] [15 196] [16 190] [17 171] [18 194] [19 162] [20 191] [21 203] [22 170] [23 202]]",2109,2271,1927,2453,150,194,181,183,199,190,185,181,174,193,165,175,177,186,168,196,190,171,194,162,191,203,170,202,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"21","[[0 1] [1 2] [2 1] [3 2] [4 2] [5 1] [6 1] [7 1] [8 1] [9 1] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 191] [1 171] [2 175] [3 140] [4 165] [5 194] [6 174] [7 162] [8 192] [9 178] [10 203] [11 200] [12 199] [13 168] [14 177] [15 185] [16 187] [17 196] [18 183] [19 180] [20 196] [21 183] [22 192] [23 189]]",2201,2179,2335,2045,191,171,175,140,165,194,174,162,192,178,203,200,199,168,177,185,187,196,183,180,196,183,192,189,1,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"18","[[0 2] [1 3] [2 0] [3 1] [4 0] [5 0] [6 0] [7 2] [8 1] [9 1] [10 1] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 181] [1 169] [2 184] [3 187] [4 188] [5 163] [6 189] [7 190] [8 178] [9 176] [10 180] [11 183] [12 170] [13 183] [14 182] [15 194] [16 187] [17 196] [18 189] [19 182] [20 183] [21 195] [22 187] [23 164]]",2205,2175,2249,2131,181,169,184,187,188,163,189,190,178,176,180,183,170,183,182,194,187,196,189,182,183,195,187,164,2,3,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"16","[[0 0] [1 0] [2 0] [3 0] [4 1] [5 0] [6 0] [7 1] [8 1] [9 2] [10 2] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 192] [1 181] [2 177] [3 187] [4 194] [5 182] [6 177] [7 192] [8 181] [9 194] [10 182] [11 60] [12 193] [13 185] [14 198] [15 190] [16 197] [17 197] [18 194] [19 193] [20 188] [21 183] [22 180] [23 183]]",2226,2154,2136,2244,192,181,177,187,194,182,177,192,181,194,182,60,193,185,198,190,197,197,194,193,188,183,180,183,0,0,0,0,1,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"15","[[0 1] [1 2] [2 1] [3 3] [4 2] [5 2] [6 1] [7 0] [8 0] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 187] [1 57] [2 188] [3 206] [4 168] [5 185] [6 177] [7 195] [8 195] [9 181] [10 187] [11 198] [12 188] [13 191] [14 185] [15 187] [16 187] [17 196] [18 189] [19 182] [20 190] [21 183] [22 183] [23 195]]",2189,2191,1728,2652,187,57,188,206,168,185,177,195,195,181,187,198,188,191,185,187,187,196,189,182,190,183,183,195,1,2,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"23","[[0 3] [1 2] [2 2] [3 0] [4 0] [5 1] [6 0] [7 1] [8 0] [9 0] [10 1] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 176] [1 185] [2 188] [3 181] [4 154] [5 184] [6 181] [7 186] [8 165] [9 198] [10 174] [11 197] [12 172] [13 187] [14 177] [15 174] [16 184] [17 191] [18 193] [19 180] [20 189] [21 180] [22 203] [23 181]]",2215,2165,2231,2149,176,185,188,181,154,184,181,186,165,198,174,197,172,187,177,174,184,191,193,180,189,180,203,181,3,2,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,"Sit-and-Wait","Small","Small",0.9,0.2,8759,8760,"18","[[0 0] [1 1] [2 2] [3 1] [4 0] [5 0] [6 2] [7 0] [8 0] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 201] [1 193] [2 201] [3 180] [4 199] [5 185] [6 10] [7 185] [8 180] [9 197] [10 189] [11 188] [12 191] [13 192] [14 189] [15 202] [16 180] [17 184] [18 185] [19 182] [20 199] [21 178] [22 203] [23 187]]",2187,2193,1756,2624,201,193,201,180,199,185,10,185,180,197,189,188,191,192,189,202,180,184,185,182,199,178,203,187,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
