"BehaviorSpace results (NetLogo 6.2.1)"
"YEAR_MODELS_8x12_death_Space_Time_EVENHabitat_Nov19Final.nlogo"
"YEAR5_MODELS"
"11/30/2021 16:45:23:087 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","7","0","11"
"[run number]","Predator-Strategy","Prey-Starting-Condition","Predator-Starting-Condition","Detection-prob-black","Detection-prob-white","[step]","ticks","[nearby] of preys","mapAware-table [1] of one-of patches","hour-map-prey [1]","[p-black] of one-of preys","[p-white] of one-of preys","[domain-overlap] of one-of preys","[domain-prey] of one-of preys"
"3","Sit-and-Wait","Small","Small","0.55","0.55","1777","1777","[35]","[[0 5] [1 2] [2 1] [3 3] [4 2] [5 1] [6 2] [7 1] [8 1] [9 0] [10 0] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 32] [1 34] [2 39] [3 14] [4 26] [5 40] [6 36] [7 35] [8 37] [9 36] [10 40] [11 44] [12 37] [13 40] [14 35] [15 28] [16 38] [17 44] [18 41] [19 42] [20 41] [21 49] [22 40] [23 40]]","467","421","888","0"
"4","Sit-and-Wait","Small","Small","0.55","0.55","8292","8292","[67]","[[0 4] [1 1] [2 2] [3 1] [4 3] [5 1] [6 4] [7 5] [8 3] [9 4] [10 6] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 187] [1 186] [2 145] [3 196] [4 155] [5 184] [6 130] [7 184] [8 174] [9 123] [10 108] [11 189] [12 179] [13 178] [14 190] [15 177] [16 170] [17 197] [18 191] [19 179] [20 174] [21 192] [22 176] [23 179]]","2264","1879","4143","0"
"1","Sit-and-Wait","Small","Small","0.55","0.55","7972","7972","[70]","[[0 2] [1 2] [2 2] [3 2] [4 3] [5 6] [6 2] [7 4] [8 3] [9 1] [10 4] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 184] [1 196] [2 190] [3 156] [4 117] [5 10] [6 185] [7 58] [8 158] [9 183] [10 75] [11 178] [12 195] [13 182] [14 186] [15 187] [16 195] [17 208] [18 194] [19 179] [20 200] [21 181] [22 190] [23 200]]","2176","1811","3987","0"
"5","Sit-and-Wait","Small","Small","0.55","0.55","9297","9297","[89]","[[0 4] [1 6] [2 2] [3 4] [4 6] [5 4] [6 5] [7 1] [8 1] [9 2] [10 2] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 144] [1 53] [2 189] [3 141] [4 168] [5 151] [6 71] [7 209] [8 229] [9 234] [10 223] [11 121] [12 232] [13 225] [14 209] [15 210] [16 232] [17 232] [18 217] [19 231] [20 230] [21 237] [22 232] [23 226]]","2345","2301","4646","0"
"8","Sit-and-Wait","Small","Small","0.55","0.55","21626","21626","[193]","[[0 11] [1 10] [2 9] [3 8] [4 11] [5 10] [6 6] [7 7] [8 8] [9 10] [10 8] [11 5] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 185] [1 196] [2 56] [3 189] [4 56] [5 239] [6 245] [7 268] [8 255] [9 289] [10 84] [11 430] [12 705] [13 695] [14 698] [15 701] [16 701] [17 658] [18 690] [19 699] [20 678] [21 696] [22 706] [23 693]]","4903","5909","10812","0"
"7","Sit-and-Wait","Small","Small","0.55","0.55","25039","25039","[258]","[[0 10] [1 9] [2 11] [3 14] [4 13] [5 15] [6 13] [7 13] [8 16] [9 13] [10 15] [11 12] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 596] [1 48] [2 87] [3 101] [4 177] [5 28] [6 27] [7 140] [8 46] [9 47] [10 43] [11 189] [12 921] [13 928] [14 912] [15 917] [16 914] [17 920] [18 908] [19 923] [20 920] [21 918] [22 899] [23 907]]","4280","8236","12516","0"
"2","Sit-and-Wait","Small","Small","0.55","0.55","43799","43800","[388]","[[0 22] [1 25] [2 21] [3 22] [4 20] [5 19] [6 17] [7 19] [8 15] [9 19] [10 16] [11 13] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 151] [1 31] [2 25] [3 79] [4 226] [5 11] [6 686] [7 393] [8 62] [9 242] [10 83] [11 320] [12 1626] [13 1630] [14 1637] [15 1635] [16 1632] [17 1645] [18 1626] [19 1635] [20 1636] [21 1636] [22 1624] [23 1629]]","11754","10146","21900","0"
"6","Sit-and-Wait","Small","Small","0.55","0.55","38406","38406","[380]","[[0 14] [1 22] [2 18] [3 21] [4 19] [5 14] [6 18] [7 15] [8 20] [9 17] [10 17] [11 14] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 201] [1 3] [2 12] [3 79] [4 17] [5 242] [6 297] [7 352] [8 305] [9 6] [10 311] [11 358] [12 1442] [13 1422] [14 1395] [15 1423] [16 1430] [17 1398] [18 1436] [19 1414] [20 1401] [21 1420] [22 1433] [23 1403]]","9892","9308","19200","0"
"11","Sit-and-Wait","Small","Small","0.55","0.55","7058","7058","[52]","[[0 3] [1 1] [2 3] [3 3] [4 3] [5 2] [6 2] [7 4] [8 2] [9 0] [10 1] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 194] [1 186] [2 91] [3 15] [4 58] [5 161] [6 77] [7 57] [8 82] [9 176] [10 182] [11 129] [12 173] [13 180] [14 173] [15 182] [16 176] [17 172] [18 173] [19 181] [20 166] [21 190] [22 176] [23 180]]","2133","1397","3530","0"
"10","Sit-and-Wait","Small","Small","0.55","0.55","10210","10210","[96]","[[0 6] [1 6] [2 5] [3 5] [4 5] [5 2] [6 4] [7 6] [8 5] [9 3] [10 7] [11 6] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 35] [1 36] [2 168] [3 24] [4 28] [5 298] [6 299] [7 42] [8 110] [9 183] [10 187] [11 27] [12 295] [13 317] [14 303] [15 310] [16 293] [17 311] [18 301] [19 310] [20 295] [21 313] [22 310] [23 306]]","2400","2701","5101","0"
