"BehaviorSpace results (NetLogo 6.2.1)"
"YEAR_MODELS_8x12_death_Space_Time_EVENHabitat_Nov19Final.nlogo"
"YEAR_MODELS"
"11/30/2021 16:19:54:246 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","7","0","11"
"[run number]","Predator-Strategy","Prey-Starting-Condition","Predator-Starting-Condition","Detection-prob-black","Detection-prob-white","[step]","ticks","[nearby] of preys","mapAware-table [1] of one-of patches","hour-map-prey [1]","[p-black] of one-of preys","[p-white] of one-of preys","[domain-overlap] of one-of preys","[domain-prey] of one-of preys"
"3","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[75]","[[0 5] [1 5] [2 2] [3 3] [4 5] [5 4] [6 2] [7 2] [8 4] [9 1] [10 5] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 115] [1 73] [2 244] [3 14] [4 41] [5 46] [6 64] [7 253] [8 209] [9 257] [10 2] [11 152] [12 243] [13 237] [14 237] [15 237] [16 243] [17 250] [18 243] [19 235] [20 257] [21 245] [22 243] [23 240]]","1624","2756","4380","0"
"4","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[71]","[[0 4] [1 6] [2 4] [3 7] [4 5] [5 6] [6 3] [7 6] [8 0] [9 3] [10 0] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 146] [1 75] [2 66] [3 160] [4 98] [5 28] [6 156] [7 117] [8 223] [9 98] [10 224] [11 225] [12 222] [13 211] [14 241] [15 213] [16 235] [17 225] [18 235] [19 251] [20 223] [21 238] [22 230] [23 240]]","2137","2243","4380","0"
"2","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[69]","[[0 3] [1 4] [2 4] [3 1] [4 4] [5 5] [6 6] [7 3] [8 3] [9 1] [10 3] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 210] [1 40] [2 135] [3 207] [4 146] [5 72] [6 105] [7 99] [8 171] [9 217] [10 206] [11 209] [12 208] [13 227] [14 203] [15 220] [16 229] [17 204] [18 213] [19 224] [20 214] [21 206] [22 209] [23 206]]","2223","2157","4380","0"
"1","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[66]","[[0 5] [1 5] [2 4] [3 4] [4 4] [5 3] [6 1] [7 4] [8 5] [9 2] [10 2] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 46] [1 132] [2 60] [3 217] [4 78] [5 212] [6 206] [7 85] [8 74] [9 214] [10 202] [11 217] [12 217] [13 223] [14 214] [15 213] [16 221] [17 224] [18 224] [19 226] [20 223] [21 222] [22 224] [23 206]]","1756","2624","4380","0"
"8","Sit-and-Wait","Small","Small","0.6","0.6","1349","1349","[8]","[[0 1] [1 0] [2 0] [3 0] [4 0] [5 0] [6 0] [7 1] [8 0] [9 1] [10 1] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 20] [1 32] [2 25] [3 30] [4 27] [5 34] [6 28] [7 32] [8 23] [9 29] [10 26] [11 28] [12 26] [13 23] [14 32] [15 29] [16 27] [17 28] [18 28] [19 25] [20 33] [21 28] [22 26] [23 35]]","300","374","674","0"
"9","Sit-and-Wait","Small","Small","0.6","0.6","1251","1251","[7]","[[0 0] [1 0] [2 0] [3 0] [4 2] [5 0] [6 2] [7 0] [8 1] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 28] [1 24] [2 23] [3 28] [4 23] [5 25] [6 30] [7 30] [8 30] [9 26] [10 23] [11 27] [12 19] [13 19] [14 24] [15 30] [16 28] [17 26] [18 29] [19 32] [20 22] [21 30] [22 24] [23 26]]","307","319","626","0"
"6","Sit-and-Wait","Small","Small","0.6","0.6","7418","7418","[78]","[[0 8] [1 9] [2 10] [3 3] [4 6] [5 2] [6 1] [7 2] [8 4] [9 2] [10 4] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 58] [1 19] [2 19] [3 202] [4 98] [5 188] [6 192] [7 214] [8 10] [9 119] [10 48] [11 200] [12 206] [13 184] [14 189] [15 191] [16 191] [17 203] [18 195] [19 208] [20 192] [21 196] [22 203] [23 183]]","1836","1872","3708","0"
"5","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[80]","[[0 1] [1 4] [2 2] [3 4] [4 3] [5 4] [6 1] [7 2] [8 5] [9 6] [10 2] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 232] [1 51] [2 192] [3 127] [4 200] [5 97] [6 222] [7 130] [8 141] [9 75] [10 226] [11 64] [12 212] [13 207] [14 218] [15 226] [16 215] [17 245] [18 228] [19 235] [20 203] [21 204] [22 219] [23 211]]","2079","2301","4380","0"
"7","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[73]","[[0 7] [1 5] [2 2] [3 6] [4 7] [5 1] [6 2] [7 0] [8 3] [9 3] [10 2] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 25] [1 218] [2 224] [3 69] [4 49] [5 205] [6 215] [7 201] [8 187] [9 165] [10 147] [11 139] [12 200] [13 210] [14 225] [15 214] [16 209] [17 206] [18 229] [19 195] [20 215] [21 229] [22 204] [23 200]]","1867","2513","4380","0"
"10","Sit-and-Wait","Small","Small","0.6","0.6","8760","8760","[70]","[[0 4] [1 4] [2 4] [3 6] [4 6] [5 6] [6 3] [7 1] [8 4] [9 3] [10 2] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 107] [1 83] [2 160] [3 28] [4 46] [5 63] [6 181] [7 212] [8 212] [9 37] [10 212] [11 214] [12 237] [13 229] [14 228] [15 240] [16 245] [17 228] [18 250] [19 215] [20 239] [21 237] [22 239] [23 238]]","1507","2873","4380","0"
