"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",24.0551486568842,146498137
"2","mean","Detection-prob-white","mustar",69.8127909064092,146498137
"3","mean","Hours-Pred-Active-Until","mustar",164.414501397707,146498137
"4","mean","Dist-Move","mustar",79.3851823785398,146498137
"5","mean","Detection-prob-black","mu",-14.6312917191631,146498137
"6","mean","Detection-prob-white","mu",-30.1110660651509,146498137
"7","mean","Hours-Pred-Active-Until","mu",-27.4881724426738,146498137
"8","mean","Dist-Move","mu",-79.3851823785398,146498137
"9","mean","Detection-prob-black","sigma",32.2706907948955,146498137
"10","mean","Detection-prob-white","sigma",98.3419945351594,146498137
"11","mean","Hours-Pred-Active-Until","sigma",239.930946652132,146498137
"12","mean","Dist-Move","sigma",10.0111644697302,146498137
