"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",97.5204482763339,1755035332
"2","mean","Detection-prob-white","mustar",82.7594658582853,1755035332
"3","mean","Hours-Pred-Active-Until","mustar",89.539048588327,1755035332
"4","mean","Detection-prob-black","mu",-0.872290052091424,1755035332
"5","mean","Detection-prob-white","mu",20.0942255894552,1755035332
"6","mean","Hours-Pred-Active-Until","mu",-3.89212553389368,1755035332
"7","mean","Detection-prob-black","sigma",136.56563054498,1755035332
"8","mean","Detection-prob-white","sigma",117.286154955152,1755035332
"9","mean","Hours-Pred-Active-Until","sigma",123.648846719369,1755035332
"10","mean","Detection-prob-black","mustar",102.310192801844,25061983
"11","mean","Detection-prob-white","mustar",83.2914990581391,25061983
"12","mean","Hours-Pred-Active-Until","mustar",103.171262644906,25061983
"13","mean","Detection-prob-black","mu",5.90485460659511,25061983
"14","mean","Detection-prob-white","mu",19.4175744295678,25061983
"15","mean","Hours-Pred-Active-Until","mu",24.8183742607831,25061983
"16","mean","Detection-prob-black","sigma",142.263355394321,25061983
"17","mean","Detection-prob-white","sigma",128.649598465737,25061983
"18","mean","Hours-Pred-Active-Until","sigma",146.091895653427,25061983
"19","mean","Detection-prob-black","mustar",85.3367312600411,-1386784337
"20","mean","Detection-prob-white","mustar",63.1936633772961,-1386784337
"21","mean","Hours-Pred-Active-Until","mustar",116.31276889182,-1386784337
"22","mean","Detection-prob-black","mu",7.31223811355314,-1386784337
"23","mean","Detection-prob-white","mu",-19.3815888417367,-1386784337
"24","mean","Hours-Pred-Active-Until","mu",9.8387009706871,-1386784337
"25","mean","Detection-prob-black","sigma",128.86069783,-1386784337
"26","mean","Detection-prob-white","sigma",102.89164321479,-1386784337
"27","mean","Hours-Pred-Active-Until","sigma",142.700654668993,-1386784337
"28","mean","Detection-prob-black","mustar",79.0408232128337,2015510548
"29","mean","Detection-prob-white","mustar",94.0877761214548,2015510548
"30","mean","Hours-Pred-Active-Until","mustar",88.6631051947677,2015510548
"31","mean","Detection-prob-black","mu",-40.2212725967808,2015510548
"32","mean","Detection-prob-white","mu",24.800330203652,2015510548
"33","mean","Hours-Pred-Active-Until","mu",-20.6989774786278,2015510548
"34","mean","Detection-prob-black","sigma",114.905510113214,2015510548
"35","mean","Detection-prob-white","sigma",149.237569059025,2015510548
"36","mean","Hours-Pred-Active-Until","sigma",137.972287730589,2015510548
"37","mean","Detection-prob-black","mustar",78.3733667340469,-794856668
"38","mean","Detection-prob-white","mustar",48.2012666012608,-794856668
"39","mean","Hours-Pred-Active-Until","mustar",82.6707374214801,-794856668
"40","mean","Detection-prob-black","mu",-35.7875734367762,-794856668
"41","mean","Detection-prob-white","mu",-2.35416333167039,-794856668
"42","mean","Hours-Pred-Active-Until","mu",11.6285129187263,-794856668
"43","mean","Detection-prob-black","sigma",101.77450936142,-794856668
"44","mean","Detection-prob-white","sigma",76.5324788090858,-794856668
"45","mean","Hours-Pred-Active-Until","sigma",111.513772320394,-794856668
