"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",106.348286882971,118161025
"2","mean","Detection-prob-white","mustar",64.8562007533015,118161025
"3","mean","Hours-Pred-Active-Until","mustar",107.565780859742,118161025
"4","mean","Detection-prob-black","mu",43.719432455156,118161025
"5","mean","Detection-prob-white","mu",-12.3821387854381,118161025
"6","mean","Hours-Pred-Active-Until","mu",39.1812404182512,118161025
"7","mean","Detection-prob-black","sigma",141.408953972072,118161025
"8","mean","Detection-prob-white","sigma",104.858877214821,118161025
"9","mean","Hours-Pred-Active-Until","sigma",143.448537876868,118161025
"10","mean","Detection-prob-black","mustar",106.601494072402,-655789904
"11","mean","Detection-prob-white","mustar",73.813974222226,-655789904
"12","mean","Hours-Pred-Active-Until","mustar",98.4164345087642,-655789904
"13","mean","Detection-prob-black","mu",-26.3327168229453,-655789904
"14","mean","Detection-prob-white","mu",-6.94504322206738,-655789904
"15","mean","Hours-Pred-Active-Until","mu",-39.3155172171451,-655789904
"16","mean","Detection-prob-black","sigma",137.4826617513,-655789904
"17","mean","Detection-prob-white","sigma",114.658980753592,-655789904
"18","mean","Hours-Pred-Active-Until","sigma",137.143320282491,-655789904
"19","mean","Detection-prob-black","mustar",87.8280191916132,-1351534951
"20","mean","Detection-prob-white","mustar",74.8164498293502,-1351534951
"21","mean","Hours-Pred-Active-Until","mustar",82.6748171994672,-1351534951
"22","mean","Detection-prob-black","mu",-27.2112079985303,-1351534951
"23","mean","Detection-prob-white","mu",5.59148204824173,-1351534951
"24","mean","Hours-Pred-Active-Until","mu",-17.469742241862,-1351534951
"25","mean","Detection-prob-black","sigma",124.933027770557,-1351534951
"26","mean","Detection-prob-white","sigma",102.583250868933,-1351534951
"27","mean","Hours-Pred-Active-Until","sigma",119.921268719776,-1351534951
"28","mean","Detection-prob-black","mustar",83.897890221969,-541445764
"29","mean","Detection-prob-white","mustar",80.214300482972,-541445764
"30","mean","Hours-Pred-Active-Until","mustar",85.5131407729071,-541445764
"31","mean","Detection-prob-black","mu",31.6071730835995,-541445764
"32","mean","Detection-prob-white","mu",17.7768842616069,-541445764
"33","mean","Hours-Pred-Active-Until","mu",-18.1052374814436,-541445764
"34","mean","Detection-prob-black","sigma",118.791248060094,-541445764
"35","mean","Detection-prob-white","sigma",119.267830758696,-541445764
"36","mean","Hours-Pred-Active-Until","sigma",124.199991457702,-541445764
"37","mean","Detection-prob-black","mustar",51.5267566829413,483781164
"38","mean","Detection-prob-white","mustar",58.6773642147553,483781164
"39","mean","Hours-Pred-Active-Until","mustar",124.61653680565,483781164
"40","mean","Detection-prob-black","mu",14.7068827989645,483781164
"41","mean","Detection-prob-white","mu",-14.549998595728,483781164
"42","mean","Hours-Pred-Active-Until","mu",44.7212378152883,483781164
"43","mean","Detection-prob-black","sigma",84.2045298724955,483781164
"44","mean","Detection-prob-white","sigma",98.3348228295802,483781164
"45","mean","Hours-Pred-Active-Until","sigma",161.89874183329,483781164
