"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",34.8197921941139,-62582840
"2","mean","Detection-prob-white","mustar",53.4939885892361,-62582840
"3","mean","Hours-Pred-Active-Until","mustar",92.3908030068272,-62582840
"4","mean","Prey-Dist","mustar",33.1512613913064,-62582840
"5","mean","Detection-prob-black","mu",34.8197921941139,-62582840
"6","mean","Detection-prob-white","mu",53.4939885892361,-62582840
"7","mean","Hours-Pred-Active-Until","mu",-92.3908030068272,-62582840
"8","mean","Prey-Dist","mu",-29.324736705924,-62582840
"9","mean","Detection-prob-black","sigma",65.0224895767732,-62582840
"10","mean","Detection-prob-white","sigma",113.126449890654,-62582840
"11","mean","Hours-Pred-Active-Until","sigma",93.4880862849145,-62582840
"12","mean","Prey-Dist","sigma",60.2093514784305,-62582840
