"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",153.435410001128,-1337343964
"2","mean","Detection-prob-white","mustar",35.9689364731457,-1337343964
"3","mean","Hours-Pred-Active-Until","mustar",109.813601413315,-1337343964
"4","mean","Dist-Move","mustar",153.739885169699,-1337343964
"5","mean","Detection-prob-black","mu",75.7232858778504,-1337343964
"6","mean","Detection-prob-white","mu",-35.9689364731457,-1337343964
"7","mean","Hours-Pred-Active-Until","mu",-95.6437547742077,-1337343964
"8","mean","Dist-Move","mu",71.042679249477,-1337343964
"9","mean","Detection-prob-black","sigma",186.983201642927,-1337343964
"10","mean","Detection-prob-white","sigma",36.6758935218513,-1337343964
"11","mean","Hours-Pred-Active-Until","sigma",82.579500629003,-1337343964
"12","mean","Dist-Move","sigma",221.917935887023,-1337343964
