"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",83.0319799494866,-467823777
"2","mean","Detection-prob-white","mustar",87.697827808356,-467823777
"3","mean","Hours-Pred-Active-Until","mustar",77.5639718251957,-467823777
"4","mean","Detection-prob-black","mu",-24.1163311986805,-467823777
"5","mean","Detection-prob-white","mu",4.78769781120645,-467823777
"6","mean","Hours-Pred-Active-Until","mu",-19.037061399673,-467823777
"7","mean","Detection-prob-black","sigma",106.230165986352,-467823777
"8","mean","Detection-prob-white","sigma",114.111260328337,-467823777
"9","mean","Hours-Pred-Active-Until","sigma",99.7434890604546,-467823777
"10","mean","Detection-prob-black","mustar",94.6868857372238,1677705449
"11","mean","Detection-prob-white","mustar",61.7309229435571,1677705449
"12","mean","Hours-Pred-Active-Until","mustar",103.145287027076,1677705449
"13","mean","Detection-prob-black","mu",35.9734093783022,1677705449
"14","mean","Detection-prob-white","mu",0.844445074408839,1677705449
"15","mean","Hours-Pred-Active-Until","mu",-14.6810004597706,1677705449
"16","mean","Detection-prob-black","sigma",121.268721533597,1677705449
"17","mean","Detection-prob-white","sigma",87.1972434297327,1677705449
"18","mean","Hours-Pred-Active-Until","sigma",135.927738715564,1677705449
