"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",93.0984610282938,-1853084941
"2","mean","Detection-prob-white","mustar",100.951907245878,-1853084941
"3","mean","Hours-Pred-Active-Until","mustar",100.840159253602,-1853084941
"4","mean","Detection-prob-black","mu",20.5938319184789,-1853084941
"5","mean","Detection-prob-white","mu",-0.715317227546434,-1853084941
"6","mean","Hours-Pred-Active-Until","mu",9.62278164736215,-1853084941
"7","mean","Detection-prob-black","sigma",122.188379598115,-1853084941
"8","mean","Detection-prob-white","sigma",137.367403130951,-1853084941
"9","mean","Hours-Pred-Active-Until","sigma",131.485108613446,-1853084941
"10","mean","Detection-prob-black","mustar",86.5511126826985,-1479998400
"11","mean","Detection-prob-white","mustar",93.4373483374608,-1479998400
"12","mean","Hours-Pred-Active-Until","mustar",105.763852344802,-1479998400
"13","mean","Detection-prob-black","mu",34.668449068166,-1479998400
"14","mean","Detection-prob-white","mu",-33.5165779000412,-1479998400
"15","mean","Hours-Pred-Active-Until","mu",-6.25706062094576,-1479998400
"16","mean","Detection-prob-black","sigma",99.780547426175,-1479998400
"17","mean","Detection-prob-white","sigma",123.508577449004,-1479998400
"18","mean","Hours-Pred-Active-Until","sigma",132.314670948728,-1479998400
