"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",71.7305776769417,-1190003431
"2","mean","Detection-prob-white","mustar",123.121215320942,-1190003431
"3","mean","Hours-Pred-Active-Until","mustar",75.2882375795951,-1190003431
"4","mean","Detection-prob-black","mu",13.8052062818163,-1190003431
"5","mean","Detection-prob-white","mu",-70.5693437965192,-1190003431
"6","mean","Hours-Pred-Active-Until","mu",7.49492293502032,-1190003431
"7","mean","Detection-prob-black","sigma",112.618801129675,-1190003431
"8","mean","Detection-prob-white","sigma",147.790289011372,-1190003431
"9","mean","Hours-Pred-Active-Until","sigma",121.300231336017,-1190003431
"10","mean","Detection-prob-black","mustar",96.068987885397,1116992797
"11","mean","Detection-prob-white","mustar",95.256650454504,1116992797
"12","mean","Hours-Pred-Active-Until","mustar",93.3440229999781,1116992797
"13","mean","Detection-prob-black","mu",31.6560812924388,1116992797
"14","mean","Detection-prob-white","mu",-24.8980559578451,1116992797
"15","mean","Hours-Pred-Active-Until","mu",8.12590752706207,1116992797
"16","mean","Detection-prob-black","sigma",119.458566219563,1116992797
"17","mean","Detection-prob-white","sigma",118.427889356572,1116992797
"18","mean","Hours-Pred-Active-Until","sigma",124.695341444134,1116992797
