"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",66.4916838114738,-1756247586
"2","mean","Detection-prob-white","mustar",58.979054181601,-1756247586
"3","mean","Hours-Pred-Active-Until","mustar",56.4334676988409,-1756247586
"4","mean","Detection-prob-black","mu",13.6877864058213,-1756247586
"5","mean","Detection-prob-white","mu",-6.46734955698962,-1756247586
"6","mean","Hours-Pred-Active-Until","mu",14.8563065878044,-1756247586
"7","mean","Detection-prob-black","sigma",87.5756134696253,-1756247586
"8","mean","Detection-prob-white","sigma",75.1834850637859,-1756247586
"9","mean","Hours-Pred-Active-Until","sigma",73.1993261873178,-1756247586
"10","mean","Detection-prob-black","mustar",60.5080660449352,-477647434
"11","mean","Detection-prob-white","mustar",63.6154503827041,-477647434
"12","mean","Hours-Pred-Active-Until","mustar",51.9100134272512,-477647434
"13","mean","Detection-prob-black","mu",13.3509244700763,-477647434
"14","mean","Detection-prob-white","mu",15.0236468731745,-477647434
"15","mean","Hours-Pred-Active-Until","mu",0.402773518831526,-477647434
"16","mean","Detection-prob-black","sigma",76.64559887049,-477647434
"17","mean","Detection-prob-white","sigma",75.9518809548401,-477647434
"18","mean","Hours-Pred-Active-Until","sigma",65.6654924300769,-477647434
