"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",68.1726191779507,1402233584
"2","mean","Detection-prob-white","mustar",53.2116766793291,1402233584
"3","mean","Hours-Pred-Active-Until","mustar",42.206492052837,1402233584
"4","mean","Detection-prob-black","mu",-26.1382012056219,1402233584
"5","mean","Detection-prob-white","mu",-3.73965592083643,1402233584
"6","mean","Hours-Pred-Active-Until","mu",1.97802374952633,1402233584
"7","mean","Detection-prob-black","sigma",83.8327244059654,1402233584
"8","mean","Detection-prob-white","sigma",73.8534443690658,1402233584
"9","mean","Hours-Pred-Active-Until","sigma",63.8171519380252,1402233584
"10","mean","Detection-prob-black","mustar",59.3781633419398,1042437482
"11","mean","Detection-prob-white","mustar",57.4847513236141,1042437482
"12","mean","Hours-Pred-Active-Until","mustar",53.7535048227688,1042437482
"13","mean","Detection-prob-black","mu",-21.4162345637041,1042437482
"14","mean","Detection-prob-white","mu",2.13564311607838,1042437482
"15","mean","Hours-Pred-Active-Until","mu",-8.8417426198822,1042437482
"16","mean","Detection-prob-black","sigma",71.6458960506403,1042437482
"17","mean","Detection-prob-white","sigma",72.8399593017957,1042437482
"18","mean","Hours-Pred-Active-Until","sigma",69.9086160272969,1042437482
