"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",87.4312588115721,1596972626
"2","mean","Detection-prob-white","mustar",77.9200275381916,1596972626
"3","mean","Hours-Pred-Active-Until","mustar",80.4935810813086,1596972626
"4","mean","Detection-prob-black","mu",17.4381541412231,1596972626
"5","mean","Detection-prob-white","mu",41.0560370176574,1596972626
"6","mean","Hours-Pred-Active-Until","mu",-25.1227688603965,1596972626
"7","mean","Detection-prob-black","sigma",143.890811775754,1596972626
"8","mean","Detection-prob-white","sigma",133.250311704709,1596972626
"9","mean","Hours-Pred-Active-Until","sigma",106.179561672387,1596972626
"10","mean","Detection-prob-black","mustar",52.3294924257202,-719614458
"11","mean","Detection-prob-white","mustar",61.8791006526609,-719614458
"12","mean","Hours-Pred-Active-Until","mustar",55.8997883365439,-719614458
"13","mean","Detection-prob-black","mu",23.0216143777678,-719614458
"14","mean","Detection-prob-white","mu",21.6833220229906,-719614458
"15","mean","Hours-Pred-Active-Until","mu",29.8413688092217,-719614458
"16","mean","Detection-prob-black","sigma",88.1706371147044,-719614458
"17","mean","Detection-prob-white","sigma",101.316073342531,-719614458
"18","mean","Hours-Pred-Active-Until","sigma",79.0382326557681,-719614458
"19","mean","Detection-prob-black","mustar",87.6775946870711,-177432698
"20","mean","Detection-prob-white","mustar",79.803786826699,-177432698
"21","mean","Hours-Pred-Active-Until","mustar",117.263886425816,-177432698
"22","mean","Detection-prob-black","mu",1.35913601422106,-177432698
"23","mean","Detection-prob-white","mu",-11.1757217439999,-177432698
"24","mean","Hours-Pred-Active-Until","mu",15.5213014409636,-177432698
"25","mean","Detection-prob-black","sigma",116.734229102488,-177432698
"26","mean","Detection-prob-white","sigma",125.970229380338,-177432698
"27","mean","Hours-Pred-Active-Until","sigma",165.727885157481,-177432698
"28","mean","Detection-prob-black","mustar",69.5078897617761,-1874423937
"29","mean","Detection-prob-white","mustar",67.5733597013929,-1874423937
"30","mean","Hours-Pred-Active-Until","mustar",101.116521511119,-1874423937
"31","mean","Detection-prob-black","mu",2.08389481559823,-1874423937
"32","mean","Detection-prob-white","mu",14.5591509409869,-1874423937
"33","mean","Hours-Pred-Active-Until","mu",58.3833964746465,-1874423937
"34","mean","Detection-prob-black","sigma",115.861098103561,-1874423937
"35","mean","Detection-prob-white","sigma",126.87843084395,-1874423937
"36","mean","Hours-Pred-Active-Until","sigma",134.012303463986,-1874423937
"37","mean","Detection-prob-black","mustar",68.2474672103474,1050534062
"38","mean","Detection-prob-white","mustar",80.5975164535156,1050534062
"39","mean","Hours-Pred-Active-Until","mustar",96.1823146111162,1050534062
"40","mean","Detection-prob-black","mu",0.27684516106505,1050534062
"41","mean","Detection-prob-white","mu",25.8101348633113,1050534062
"42","mean","Hours-Pred-Active-Until","mu",-12.9380381496734,1050534062
"43","mean","Detection-prob-black","sigma",99.0305205901755,1050534062
"44","mean","Detection-prob-white","sigma",116.977859174533,1050534062
"45","mean","Hours-Pred-Active-Until","sigma",141.117666359473,1050534062
