"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",86.1548154734273,-1683923780
"2","mean","Detection-prob-white","mustar",104.751562925645,-1683923780
"3","mean","Hours-Pred-Active-Until","mustar",110.939713241642,-1683923780
"4","mean","Detection-prob-black","mu",-14.3352613650912,-1683923780
"5","mean","Detection-prob-white","mu",-12.3296348908416,-1683923780
"6","mean","Hours-Pred-Active-Until","mu",24.3757533267079,-1683923780
"7","mean","Detection-prob-black","sigma",115.354080684039,-1683923780
"8","mean","Detection-prob-white","sigma",132.395053852748,-1683923780
"9","mean","Hours-Pred-Active-Until","sigma",140.27334684486,-1683923780
"10","mean","Detection-prob-black","mustar",59.0147275018439,689160296
"11","mean","Detection-prob-white","mustar",100.047699438313,689160296
"12","mean","Hours-Pred-Active-Until","mustar",71.9329925048166,689160296
"13","mean","Detection-prob-black","mu",22.5399926496784,689160296
"14","mean","Detection-prob-white","mu",-13.8176823931755,689160296
"15","mean","Hours-Pred-Active-Until","mu",-15.8069568739227,689160296
"16","mean","Detection-prob-black","sigma",93.336678610916,689160296
"17","mean","Detection-prob-white","sigma",128.259392999624,689160296
"18","mean","Hours-Pred-Active-Until","sigma",97.5122165304107,689160296
"19","mean","Detection-prob-black","mustar",91.3528110047351,1944310607
"20","mean","Detection-prob-white","mustar",92.3804305966272,1944310607
"21","mean","Hours-Pred-Active-Until","mustar",102.023277158244,1944310607
"22","mean","Detection-prob-black","mu",-49.3810931073348,1944310607
"23","mean","Detection-prob-white","mu",-15.4406168796391,1944310607
"24","mean","Hours-Pred-Active-Until","mu",-17.4810842003673,1944310607
"25","mean","Detection-prob-black","sigma",121.52410088643,1944310607
"26","mean","Detection-prob-white","sigma",131.951592144534,1944310607
"27","mean","Hours-Pred-Active-Until","sigma",142.741845952011,1944310607
"28","mean","Detection-prob-black","mustar",71.8535427231122,1445645477
"29","mean","Detection-prob-white","mustar",73.7557820775065,1445645477
"30","mean","Hours-Pred-Active-Until","mustar",99.5293955738871,1445645477
"31","mean","Detection-prob-black","mu",4.29921806605854,1445645477
"32","mean","Detection-prob-white","mu",-6.18142701158562,1445645477
"33","mean","Hours-Pred-Active-Until","mu",-49.0353907102515,1445645477
"34","mean","Detection-prob-black","sigma",102.69037483324,1445645477
"35","mean","Detection-prob-white","sigma",105.873004560109,1445645477
"36","mean","Hours-Pred-Active-Until","sigma",129.299508478429,1445645477
"37","mean","Detection-prob-black","mustar",57.5068042167251,-371928275
"38","mean","Detection-prob-white","mustar",54.2062762730288,-371928275
"39","mean","Hours-Pred-Active-Until","mustar",92.6841369862581,-371928275
"40","mean","Detection-prob-black","mu",0.0546563250199388,-371928275
"41","mean","Detection-prob-white","mu",1.87010135226282,-371928275
"42","mean","Hours-Pred-Active-Until","mu",52.8718408218585,-371928275
"43","mean","Detection-prob-black","sigma",94.827328418672,-371928275
"44","mean","Detection-prob-white","sigma",77.9903210901944,-371928275
"45","mean","Hours-Pred-Active-Until","sigma",114.737328964476,-371928275
