"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",79.3757453660716,216790142
"2","mean","Detection-prob-white","mustar",71.8562896715503,216790142
"3","mean","Hours-Pred-Active-Until","mustar",70.3777628193988,216790142
"4","mean","Prey-Dist","mustar",75.7125481137922,216790142
"5","mean","Detection-prob-black","mu",13.3749371842215,216790142
"6","mean","Detection-prob-white","mu",3.83978494145076,216790142
"7","mean","Hours-Pred-Active-Until","mu",4.00424825716159,216790142
"8","mean","Prey-Dist","mu",75.7125481137922,216790142
"9","mean","Detection-prob-black","sigma",127.691239443092,216790142
"10","mean","Detection-prob-white","sigma",105.333236255903,216790142
"11","mean","Hours-Pred-Active-Until","sigma",86.5289878491184,216790142
"12","mean","Prey-Dist","sigma",64.8080333462908,216790142
