"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",116.380650640864,-1102926017
"2","mean","Detection-prob-white","mustar",52.9210058181778,-1102926017
"3","mean","Hours-Pred-Active-Until","mustar",74.5161374523092,-1102926017
"4","mean","Dist-Move","mustar",126.95386249155,-1102926017
"5","mean","Detection-prob-black","mu",78.2712623707061,-1102926017
"6","mean","Detection-prob-white","mu",-33.0818927943761,-1102926017
"7","mean","Hours-Pred-Active-Until","mu",2.21612183852996,-1102926017
"8","mean","Dist-Move","mu",28.2849032015151,-1102926017
"9","mean","Detection-prob-black","sigma",105.308668137552,-1102926017
"10","mean","Detection-prob-white","sigma",71.5631137276634,-1102926017
"11","mean","Hours-Pred-Active-Until","sigma",90.625960743576,-1102926017
"12","mean","Dist-Move","sigma",176.664203648365,-1102926017
