"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",91.9571790191277,835961940
"2","mean","Detection-prob-white","mustar",32.6118436578082,835961940
"3","mean","Hours-Pred-Active-Until","mustar",83.7025090341435,835961940
"4","mean","Dist-Move","mustar",82.2684010235849,835961940
"5","mean","Detection-prob-black","mu",-32.7731160713385,835961940
"6","mean","Detection-prob-white","mu",-0.754769963858094,835961940
"7","mean","Hours-Pred-Active-Until","mu",-31.3266173008477,835961940
"8","mean","Dist-Move","mu",3.03342567188781,835961940
"9","mean","Detection-prob-black","sigma",113.81081159367,835961940
"10","mean","Detection-prob-white","sigma",43.756805118171,835961940
"11","mean","Hours-Pred-Active-Until","sigma",120.089347901181,835961940
"12","mean","Dist-Move","sigma",101.380675411623,835961940
