"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",99.9446527838774,-913138912
"2","mean","Detection-prob-white","mustar",63.1507680337711,-913138912
"3","mean","Hours-Pred-Active-Until","mustar",86.6046637940527,-913138912
"4","mean","Detection-prob-black","mu",-39.4004917720397,-913138912
"5","mean","Detection-prob-white","mu",7.37581541034667,-913138912
"6","mean","Hours-Pred-Active-Until","mu",25.6001766847723,-913138912
"7","mean","Detection-prob-black","sigma",129.097273721304,-913138912
"8","mean","Detection-prob-white","sigma",93.0798447147187,-913138912
"9","mean","Hours-Pred-Active-Until","sigma",116.468548716374,-913138912
"10","mean","Detection-prob-black","mustar",69.9810693640425,1193019178
"11","mean","Detection-prob-white","mustar",96.9770774755482,1193019178
"12","mean","Hours-Pred-Active-Until","mustar",91.2194202772806,1193019178
"13","mean","Detection-prob-black","mu",-7.84736683844001,1193019178
"14","mean","Detection-prob-white","mu",-22.5343754815387,1193019178
"15","mean","Hours-Pred-Active-Until","mu",5.76158465932894,1193019178
"16","mean","Detection-prob-black","sigma",101.26702156237,1193019178
"17","mean","Detection-prob-white","sigma",127.08465709582,1193019178
"18","mean","Hours-Pred-Active-Until","sigma",120.800521663529,1193019178
"19","mean","Detection-prob-black","mustar",83.997701654394,-1712575458
"20","mean","Detection-prob-white","mustar",95.9744004449663,-1712575458
"21","mean","Hours-Pred-Active-Until","mustar",115.105191479355,-1712575458
"22","mean","Detection-prob-black","mu",28.3530085505737,-1712575458
"23","mean","Detection-prob-white","mu",-12.7703222288011,-1712575458
"24","mean","Hours-Pred-Active-Until","mu",-43.0083545332343,-1712575458
"25","mean","Detection-prob-black","sigma",116.085681281423,-1712575458
"26","mean","Detection-prob-white","sigma",135.682049915974,-1712575458
"27","mean","Hours-Pred-Active-Until","sigma",147.656094867742,-1712575458
"28","mean","Detection-prob-black","mustar",93.3249285860696,-1936198738
"29","mean","Detection-prob-white","mustar",81.8049385656104,-1936198738
"30","mean","Hours-Pred-Active-Until","mustar",103.209561853801,-1936198738
"31","mean","Detection-prob-black","mu",-26.4724274415816,-1936198738
"32","mean","Detection-prob-white","mu",-8.35425869043863,-1936198738
"33","mean","Hours-Pred-Active-Until","mu",-52.5965047705507,-1936198738
"34","mean","Detection-prob-black","sigma",140.784224939828,-1936198738
"35","mean","Detection-prob-white","sigma",125.638371627364,-1936198738
"36","mean","Hours-Pred-Active-Until","sigma",126.56654219494,-1936198738
"37","mean","Detection-prob-black","mustar",86.1182498691323,-845893431
"38","mean","Detection-prob-white","mustar",75.5490992033382,-845893431
"39","mean","Hours-Pred-Active-Until","mustar",89.0057538182346,-845893431
"40","mean","Detection-prob-black","mu",38.618161272039,-845893431
"41","mean","Detection-prob-white","mu",29.722043245161,-845893431
"42","mean","Hours-Pred-Active-Until","mu",11.6955730616244,-845893431
"43","mean","Detection-prob-black","sigma",105.859985236833,-845893431
"44","mean","Detection-prob-white","sigma",102.272751645902,-845893431
"45","mean","Hours-Pred-Active-Until","sigma",120.459030310708,-845893431
