"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",114.811288945744,-1154175887
"2","mean","Detection-prob-white","mustar",90.0908110275344,-1154175887
"3","mean","Hours-Pred-Active-Until","mustar",93.7579241017793,-1154175887
"4","mean","Detection-prob-black","mu",19.0450110609721,-1154175887
"5","mean","Detection-prob-white","mu",5.95097915336131,-1154175887
"6","mean","Hours-Pred-Active-Until","mu",8.19798183912394,-1154175887
"7","mean","Detection-prob-black","sigma",154.140153571779,-1154175887
"8","mean","Detection-prob-white","sigma",132.254472133408,-1154175887
"9","mean","Hours-Pred-Active-Until","sigma",127.820729769096,-1154175887
"10","mean","Detection-prob-black","mustar",78.4483081288914,-518383241
"11","mean","Detection-prob-white","mustar",75.4048439867644,-518383241
"12","mean","Hours-Pred-Active-Until","mustar",65.7037346291686,-518383241
"13","mean","Detection-prob-black","mu",-32.6922036339208,-518383241
"14","mean","Detection-prob-white","mu",-19.0604365759852,-518383241
"15","mean","Hours-Pred-Active-Until","mu",-1.50416931908363,-518383241
"16","mean","Detection-prob-black","sigma",103.062782411775,-518383241
"17","mean","Detection-prob-white","sigma",109.389702098862,-518383241
"18","mean","Hours-Pred-Active-Until","sigma",93.062385535761,-518383241
