"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",91.2150006641513,-1612758615
"2","mean","Detection-prob-white","mustar",83.3052561286068,-1612758615
"3","mean","Hours-Pred-Active-Until","mustar",87.9988851521994,-1612758615
"4","mean","Detection-prob-black","mu",18.8839676708897,-1612758615
"5","mean","Detection-prob-white","mu",-3.97410963718197,-1612758615
"6","mean","Hours-Pred-Active-Until","mu",12.9490901878186,-1612758615
"7","mean","Detection-prob-black","sigma",122.405096168179,-1612758615
"8","mean","Detection-prob-white","sigma",117.862240485289,-1612758615
"9","mean","Hours-Pred-Active-Until","sigma",115.334601998829,-1612758615
"10","mean","Detection-prob-black","mustar",60.5407355429029,438952514
"11","mean","Detection-prob-white","mustar",76.0567642934752,438952514
"12","mean","Hours-Pred-Active-Until","mustar",72.5994497614873,438952514
"13","mean","Detection-prob-black","mu",18.6956782358687,438952514
"14","mean","Detection-prob-white","mu",21.4284448861357,438952514
"15","mean","Hours-Pred-Active-Until","mu",21.6701928090457,438952514
"16","mean","Detection-prob-black","sigma",100.954470334215,438952514
"17","mean","Detection-prob-white","sigma",96.216649069934,438952514
"18","mean","Hours-Pred-Active-Until","sigma",111.059741867422,438952514
