"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",54.241453840904,1859106106
"2","mean","Detection-prob-white","mustar",66.8117425579048,1859106106
"3","mean","Hours-Pred-Active-Until","mustar",66.6536620553362,1859106106
"4","mean","Detection-prob-black","mu",15.2554606167052,1859106106
"5","mean","Detection-prob-white","mu",10.753132279474,1859106106
"6","mean","Hours-Pred-Active-Until","mu",-19.5716911922903,1859106106
"7","mean","Detection-prob-black","sigma",79.4895760147616,1859106106
"8","mean","Detection-prob-white","sigma",89.4561088517638,1859106106
"9","mean","Hours-Pred-Active-Until","sigma",91.0121319145914,1859106106
"10","mean","Detection-prob-black","mustar",77.2576840693853,-1156360519
"11","mean","Detection-prob-white","mustar",79.7453453594382,-1156360519
"12","mean","Hours-Pred-Active-Until","mustar",72.9948257493744,-1156360519
"13","mean","Detection-prob-black","mu",0.263255017134284,-1156360519
"14","mean","Detection-prob-white","mu",-12.5803921670712,-1156360519
"15","mean","Hours-Pred-Active-Until","mu",4.30929033459827,-1156360519
"16","mean","Detection-prob-black","sigma",106.956260123175,-1156360519
"17","mean","Detection-prob-white","sigma",106.690161013404,-1156360519
"18","mean","Hours-Pred-Active-Until","sigma",97.0838046785106,-1156360519
