"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",79.5857960607515,1758004375
"2","mean","Detection-prob-white","mustar",89.8381689286217,1758004375
"3","mean","Hours-Pred-Active-Until","mustar",82.8135439988725,1758004375
"4","mean","Detection-prob-black","mu",5.52522810013788,1758004375
"5","mean","Detection-prob-white","mu",-28.7682032908104,1758004375
"6","mean","Hours-Pred-Active-Until","mu",27.0493487413665,1758004375
"7","mean","Detection-prob-black","sigma",122.753400159698,1758004375
"8","mean","Detection-prob-white","sigma",125.305803074503,1758004375
"9","mean","Hours-Pred-Active-Until","sigma",109.346742654474,1758004375
"10","mean","Detection-prob-black","mustar",79.4951939906071,-219748801
"11","mean","Detection-prob-white","mustar",69.8571789087834,-219748801
"12","mean","Hours-Pred-Active-Until","mustar",70.8026555965196,-219748801
"13","mean","Detection-prob-black","mu",12.0315610792582,-219748801
"14","mean","Detection-prob-white","mu",-5.82054051124851,-219748801
"15","mean","Hours-Pred-Active-Until","mu",0.870538223735939,-219748801
"16","mean","Detection-prob-black","sigma",115.335908342315,-219748801
"17","mean","Detection-prob-white","sigma",93.5447451871983,-219748801
"18","mean","Hours-Pred-Active-Until","sigma",100.075853135426,-219748801
